id,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium
220,760,430,47,16,1,100,1410,53,3,11,33,NA,NA,NA
221,340,170,19,5,0,40,510,28,2,6,14,NA,NA,NA
222,380,210,23,8,1,55,730,29,2,6,16,NA,NA,NA
223,590,360,40,12,0,150,1540,18,3,6,42,NA,NA,NA
224,720,450,50,13,0,120,1960,32,5,7,36,NA,NA,NA
225,550,330,37,10,0,115,1640,17,3,5,36,NA,NA,NA
226,690,430,48,12,1,100,1750,31,4,8,35,NA,NA,NA
227,530,290,32,5,0,95,1640,26,3,6,35,NA,NA,NA
228,670,380,43,7,0,80,1760,40,5,8,34,NA,NA,NA
229,560,270,30,7,0,90,980,40,4,34,29,NA,NA,NA
230,700,370,41,9,0,80,1090,54,5,37,28,NA,NA,NA
231,320,120,14,6,0,115,650,16,2,4,36,NA,NA,NA
232,450,220,24,7,0,85,1070,30,5,6,29,NA,NA,NA
233,220,180,20,4,0,10,540,7,2,3,6,NA,NA,NA
234,230,190,21,5,0,30,520,7,2,3,5,NA,NA,NA
235,830,468,52,14,0.5,110,2100,57,NA,9,34,NA,NA,NA
236,440,243,27,4.5,0,15,630,44,NA,13,7,NA,NA,NA
237,530,250,27,4.5,0,30,1360,54,2,7,17,NA,NA,NA
238,410,150,16,3,0,5,1030,44,7,8,22,NA,NA,NA
239,480,220,25,2.5,0,5,1160,42,2,10,22,NA,NA,NA
240,730,351,39,9,0,90,1930,63,NA,16,32,NA,NA,NA
241,290,150,17,3,1.5,40,780,18,1,1,16,NA,NA,NA
242,190,100,11,2,0,25,310,10,1,0,10,NA,NA,NA
243,290,150,17,3,0,40,460,15,1,0,15,NA,NA,NA
244,950,500,55,11,0,130,1530,50,5,0,51,NA,NA,NA
245,470,260,29,5,0,50,890,34,5,0,21,NA,NA,NA
246,570,225,25,8,0,70,1340,57,NA,9,32,NA,NA,NA
247,580,252,28,8,0.5,70,2310,56,NA,8,30,NA,NA,NA
248,430,250,28,4.5,0,30,760,34,2,4,12,NA,NA,NA
249,670,370,41,7,0.5,60,1070,54,2,7,23,NA,NA,NA
250,470,170,19,3.5,0,85,850,39,2,6,37,NA,NA,NA
251,330,170,19,8,1,40,980,28,2,5,14,NA,NA,NA
252,310,140,16,6,1,30,960,32,2,10,11,NA,NA,NA
253,300,160,18,3,0,40,950,19,1,1,15,NA,NA,NA
254,630,350,39,7,1,65,1390,46,3,4,24,NA,NA,NA
255,340,189,21,3.5,0,45,1200,21,1,1,16,NA,NA,NA
256,410,150,17,3,0,20,870,53,2,14,12,NA,NA,NA
257,840,459,51,12,1,95,1760,62,3,7,32,NA,NA,NA
258,210,135,15,3,0,20,570,11,2,0,8,NA,NA,NA
259,530,333,37,7,0,55,1420,28,NA,0,20,NA,NA,NA
260,410,220,25,4.5,0,35,850,35,2,5,12,NA,NA,NA
261,700,378,42,7,0,65,1140,57,3,8,25,NA,NA,NA
262,760,405,45,11,0,95,1720,58,3,8,32,NA,NA,NA
263,1000,660,74,26,2,170,1610,40,2,9,46,25,8,30
264,800,460,51,20,2,135,1280,44,3,13,40,25,6,35
265,630,330,37,13,1,95,1250,44,2,13,30,20,6,25
266,540,270,30,11,1,70,1020,44,3,13,23,20,6,25
267,570,310,35,11,1,75,820,39,2,8,24,2,0,25
268,400,160,18,9,1,65,930,34,1,8,19,10,0,10
269,630,310,34,18,2,125,1240,34,1,9,34,15,0,20
270,1030,480,53,9,1,80,2780,105,9,4,35,2,0,10
271,1260,590,66,11,1,120,3500,121,12,4,49,2,0,10
272,420,240,26,11,1,60,1140,26,1,3,19,NA,NA,NA
273,390,220,24,11,1,50,1000,26,1,3,16,NA,NA,NA
274,380,220,24,11,1,55,900,23,1,3,16,10,0,15
275,330,180,20,8,1,40,1050,24,1,5,13,8,0,6
276,290,160,17,7,1,35,900,22,1,4,11,4,0,6
277,350,180,20,8,1,35,1000,30,1,6,13,NA,NA,NA
278,310,80,9,3,0,50,830,41,2,9,17,10,4,4
279,250,80,9,1,0,0,500,36,2,1,7,0,2,2
280,550,410,45,25,0,150,900,0,0,0,35,30,0,100
281,1050,670,75,43,1,180,2210,52,0,30,43,NA,NA,NA
282,760,440,49,21,2,100,1570,48,2,6,32,NA,NA,NA
283,260,140,15,4,0,20,450,26,1,7,6,0,4,0
284,470,200,22,3,0,20,1210,53,2,7,17,10,2,6
285,400,160,18,9,1,65,930,35,1,9,20,20,6,10
286,640,310,34,18,2,125,1240,35,1,9,34,25,6,20
287,540,240,26,13,1,100,750,34,1,9,29,15,6,4
288,350,130,14,7,1,50,680,34,1,9,17,15,6,4
289,780,430,48,22,2,150,1390,34,1,7,41,20,6,20
290,580,310,34,7,0,45,910,48,2,6,19,NA,NA,NA
291,910,430,48,13,0.5,45,2210,95,5,2,23,NA,NA,NA
292,350,180,20,3,0,60,960,22,10,0,22,NA,NA,NA
293,500,180,20,8,0,65,1190,45,3,3,33,NA,NA,NA
294,640,220,25,8,0,60,1530,68,4,3,34,NA,NA,NA
295,520,280,31,10,0,100,1470,25,9,6,37,NA,NA,NA
296,280,120,13,2,0,40,670,24,9,6,17,NA,NA,NA
297,600,270,30,5,0,55,1250,59,7,8,24,10,6,15
298,350,190,21,5,0,35,820,30,2,1,12,10,2,10
299,380,170,19,9,0,100,1540,11,3,6,42,NA,NA,NA
300,150,20,2,0.5,0,40,730,10,3,6,23,NA,NA,NA
301,360,140,15,3,0,50,1040,32,1,5,25,10,8,6
302,280,130,15,4,0,30,800,22,1,1,15,10,4,10
303,20,0,0,0,0,0,15,5,2,3,1,50,30,15
304,550,240,26,8,0,60,1420,45,3,3,30,NA,NA,NA
305,320,80,9,4,0,20,680,43,5,6,15,8,8,30
306,640,160,18,8,0,40,1360,86,10,12,30,16,16,60
307,430,160,18,6,0,50,590,47,5,8,19,8,20,30
308,860,320,36,12,0,100,1180,94,10,16,38,16,40,60
309,580,310,31,11,0,85,1470,47,5,7,29,10,45,40
310,1160,620,62,22,0,170,2940,94,10,14,58,20,90,80
311,500,150,17,9,1,85,1310,51,6,8,38,15,20,50
312,1000,300,34,18,2,170,2620,102,12,16,76,30,40,100
313,180,20,3,0.5,0,10,450,30,3,5,10,6,15,20
314,290,40,5,1,0,20,830,46,5,8,18,8,20,30
315,580,80,10,2,0,40,1660,92,10,16,36,16,40,60
316,330,45,5,1,0,45,890,45,5,7,25,8,20,30
317,660,90,10,2,0,90,1780,90,10,14,50,16,40,60
318,570,230,26,7,0,70,1600,46,5,8,33,10,20,40
319,1140,460,52,14,0,140,3200,92,10,16,66,20,40,80
320,570,250,28,10,1,95,1080,47,5,8,35,15,25,50
321,1140,500,56,20,2,190,2160,94,10,16,70,30,50,100
322,460,140,16,6,0,80,1140,49,6,9,32,15,30,45
323,920,280,32,12,0,160,2280,98,12,18,64,30,60,90
324,370,120,13,4,0,50,1140,46,5,7,18,10,20,35
325,740,240,26,8,0,100,2280,92,10,14,36,20,40,70
326,470,130,15,4.5,0,85,1770,45,7,12,39,10,35,20
327,940,260,30,9,0,170,3540,90,14,24,78,20,70,40
328,410,150,16,6,0,45,1300,46,5,8,20,8,20,30
329,820,300,32,12,0,90,2600,92,10,16,40,16,40,60
330,550,260,29,10,0,75,1470,47,5,9,26,10,20,40
331,1100,520,58,20,0,150,2940,94,10,18,52,20,40,80
332,480,160,18,7,1,30,950,59,8,12,21,25,35,35
333,960,320,36,14,2,60,1900,118,16,24,42,50,70,70
334,320,40,5,2,0,25,640,47,5,8,23,8,30,30
335,640,80,10,4,0,50,1280,44,10,16,46,16,60,60
336,200,25,3,1,0,25,390,30,4,5,14,6,15,20
337,320,40,5,2,0,40,700,45,5,7,24,8,20,30
338,640,80,10,4,0,80,1400,90,10,14,48,16,40,60
339,350,50,6,1.5,0,50,540,44,5,7,29,8,20,30
340,700,100,12,3,0,100,1080,88,10,14,58,16,40,60
341,480,220,24,9,1,50,1520,46,5,8,20,8,20,30
342,960,440,48,18,2,100,3040,92,10,16,40,16,40,60
343,380,90,10,5,0,50,1060,48,5,8,26,10,20,40
344,760,180,20,10,0,100,2120,96,10,16,52,20,40,80
345,310,40,5,2,0,40,880,46,5,7,23,8,20,30
346,620,80,10,4,0,80,1760,92,10,14,46,16,40,60
347,370,100,11,5,0,45,1210,47,5,8,23,10,20,40
348,740,200,22,10,0,90,1420,94,10,16,46,20,40,80
349,420,170,19,3,0,20,690,51,5,8,13,10,20,35
350,840,340,38,6,0,40,1380,102,10,16,26,20,40,70
351,380,40,5,1,0,50,900,59,5,18,26,8,30,35
352,760,80,10,2,0,100,1800,118,10,36,52,16,60,70
353,470,210,24,4,0,30,620,44,5,6,20,8,20,30
354,940,420,48,8,0,60,1240,88,10,12,40,16,40,60
355,390,110,13,3.5,0,30,860,49,8,7,22,10,200,30
356,780,220,26,7,0,60,1720,98,16,14,44,20,400,60
357,180,20,2,0.5,0,10,380,30,3,5,10,6,15,20
358,280,30,4,1,0,20,810,46,5,7,18,8,20,30
359,560,60,8,2,0,40,1620,92,10,14,36,16,40,60
360,280,35,4,1,0,20,820,46,5,8,18,8,20,30
361,560,70,8,2,0,40,1640,92,10,16,36,16,40,60
362,490,210,24,9,1,50,1480,47,5,8,24,10,20,45
363,980,420,48,18,2,100,2960,94,10,16,48,20,40,90
364,150,15,2,0,0,0,190,29,3,4,6,6,15,20
365,230,20,3,1,0,0,310,44,5,6,8,8,20,30
366,460,40,6,2,0,0,620,88,10,12,16,16,40,60
367,390,70,7,1,0,10,800,56,8,8,23,15,20,35
368,780,140,14,2,0,20,1600,112,16,16,46,30,20,70
369,300,80,9,3,0,60,1120,26,3,22,25,40,40,15
370,150,70,8,4,0,20,420,10,4,5,10,50,50,6
371,400,300,29,11,0,85,1250,12,4,4,23,25,70,10
372,330,140,16,8,1,85,1080,17,5,6,32,60,50,25
373,110,25,3,1,0,20,590,11,4,6,12,25,45,4
374,360,230,26,4,0,60,1100,13,4,6,20,50,60,8
375,280,110,12,4.5,0,65,1320,11,4,5,28,50,50,15
376,150,30,4,0,0,45,680,8,3,3,19,40,40,6
377,510,340,38,12,1,100,1040,14,4,7,30,60,60,30
378,180,95,11,4,0,45,820,12,4,5,12,50,50,10
379,220,35,5,1.5,0,100,490,10,4,4,36,50,60,8
380,230,135,15,6,0,45,1060,12,4,6,14,50,50,6
381,230,140,15,5,0,45,1060,13,4,8,14,40,60,4
382,310,150,17,7,1,30,720,25,6,10,16,60,70,10
383,140,25,3,0.5,0,50,280,10,4,4,19,50,60,8
384,140,30,4,1,0,40,450,10,4,5,18,25,45,4
385,310,205,23,9,1,50,1280,11,4,6,15,50,50,8
386,210,75,8,4,0,50,830,14,4,6,20,50,50,15
387,140,30,4,1,0,40,640,11,4,5,17,25,45,6
388,200,85,10,5,0,45,910,13,4,6,18,50,50,15
389,200,25,3,1,0,50,660,24,4,16,20,25,50,6
390,310,215,24,4,0,40,370,10,4,4,15,50,50,6
391,110,20,3,1,0,25,580,11,4,5,12,25,45,6
392,110,20,2,1,0,20,570,11,4,5,12,25,45,6
393,50,10,1,0,0,0,65,9,4,4,3,25,45,4
394,760,330,37,12,1,100,2250,65,4,7,43,15,45,30
395,730,310,34,10,0.5,135,1900,53,3,4,55,15,8,45
396,810,380,42,13,0.5,75,2970,62,3,6,43,10,30,30
397,740,230,25,11,0,50,1270,100,5,9,36,35,30,60
398,680,200,22,9,0,40,1070,96,4,7,32,25,4,45
399,790,290,32,13,0,60,1350,96,4,8,38,30,4,60
400,820,310,34,14,0,70,1420,97,4,8,39,30,4,60
401,540,230,26,7,1,45,1360,59,7,4,19,NA,NA,NA
402,460,170,18,7,1,45,1320,53,9,3,21,NA,NA,NA
403,510,170,19,7,0,20,1090,68,11,4,16,NA,NA,NA
404,370,100,11,4,0,5,960,56,9,3,13,NA,NA,NA
405,550,200,22,8,0,35,1270,68,8,5,19,NA,NA,NA
406,440,160,18,5,0,20,1030,55,4,3,13,NA,NA,NA
407,410,110,12,4,0,10,1100,62,8,3,14,NA,NA,NA
408,420,140,16,7,0,35,1090,53,8,5,16,NA,NA,NA
409,390,110,12,5,0,40,1050,52,7,5,19,NA,NA,NA
410,390,120,13,5,0,30,1090,52,7,5,17,NA,NA,NA
411,760,240,27,6,0,60,1960,96,12,7,32,NA,NA,NA
412,780,250,28,7,0,50,1900,98,13,7,33,NA,NA,NA
413,740,230,26,5,0,10,1750,107,17,8,20,NA,NA,NA
414,420,160,17,3.5,0,0,930,55,6,4,11,NA,NA,NA
415,380,150,17,8,1,35,930,41,5,2,16,NA,NA,NA
416,610,210,24,9,0,55,1510,74,5,5,25,10,4,35
417,610,220,24,9,0,50,1520,75,5,5,25,10,4,40
418,630,240,26,10,0.5,45,1530,76,7,5,22,15,4,35
419,550,260,29,9,0.5,50,1130,52,7,4,20,15,6,20
420,620,270,30,10,0,60,1440,64,4,4,24,NA,NA,NA
421,630,280,31,11,0.5,65,1410,64,3,4,25,NA,NA,NA
422,650,300,34,12,0.5,60,1450,65,6,5,22,NA,NA,NA
423,400,160,18,4.5,0,30,960,45,3,3,16,NA,NA,NA
424,710,320,35,13,1,75,2260,70,10,4,28,NA,NA,NA
425,650,250,28,10,0,70,2230,67,8,4,34,NA,NA,NA
426,670,260,29,11,0.5,80,2080,68,7,4,35,NA,NA,NA
427,540,180,20,8,0,55,1740,66,5,5,24,15,8,35
428,550,190,21,9,0,50,1750,66,5,5,24,10,6,35
429,570,210,23,10,0.5,45,1760,68,7,5,22,15,6,35
430,410,140,16,6,0,30,1030,50,4,3,15,6,2,20
